id,location,carrier,peak_demand
NL_E_Demand,NL,electricity,37487.25257
BE_E_Demand,BE,electricity,26322.90865
DE_E_Demand,DE,electricity,125041.1243
FR_E_Demand,FR,electricity,91601.00618
DK_E_Demand,DK,electricity,6316.626413
UK_E_Demand,UK,electricity,118630.2474
IE_E_Demand,IE,electricity,10918.34823
CH_E_Demand,CH,electricity,12735.08856
AT_E_Demand,AT,electricity,18775.78042
LU_E_Demand,LU,electricity,2670.942648
CZ_E_Demand,CZ,electricity,13127.73612
PL_E_Demand,PL,electricity,37059.16112
SE_E_Demand,SE,electricity,29958.16458
NO_E_Demand,NO,electricity,30109.65055
ES_E_Demand,ES,electricity,55090.26507
PT_E_Demand,PT,electricity,10411.0523
IT_E_Demand,IT,electricity,80321.05864
MT_E_Demand,MT,electricity,632.2089885
SI_E_Demand,SI,electricity,3461.524237
HU_E_Demand,HU,electricity,12967.15039
SK_E_Demand,SK,electricity,6547.951746
LT_E_Demand,LT,electricity,3420.536077
LV_E_Demand,LV,electricity,2358.298063
EE_E_Demand,EE,electricity,2709.725187
FI_E_Demand,FI,electricity,19297.61551
HR_E_Demand,HR,electricity,4605.988696
GR_E_Demand,GR,electricity,16631.27631
BG_E_Demand,BG,electricity,7401.237471
RO_E_Demand,RO,electricity,15814.56593
CY_E_Demand,CY,electricity,1563.589525
OBZLL_E_Demand,OBZLL,electricity,0
